NUMBER,STREET,CITY,REGION,POSTCODE
231,CANTERBURY ROAD,CANTERBURY,NSW,2193
28,AMARYLLIS PARADE,TARNEIT,VIC,3029
638,KANGAROOBY ROAD,GOOLOOGONG,NSW,2805
5952,PACIFIC HIGHWAY,NAMBUCCA HEADS,NSW,2448
92,YENTOO DRIVE,GLENFIELD PARK,NSW,2650
4,GEORGIAN GARDENS,WANTIRNA,VIC,3152
90,ESPLANADE,DARWIN CITY,NT,0800
555,ANGLESEA ROAD,FRESHWATER CREEK,VIC,3217
19,HEADINGLEY ROAD,MOUNT WAVERLEY,VIC,3149
7,EDINBURGH COURT,FRANKSTON SOUTH,VIC,3199
9,HARRIET COURT,SPRINGFIELD LAKES,QLD,4300
76,BAYSWATER AVENUE,VARSITY LAKES,QLD,4227
197-205A,ELIZABETH STREET,HOBART,TAS,7000
3,EMU COURT,PARALOWIE,SA,5108
27-29,GEORGE STREET,NORTH STRATHFIELD,NSW,2137
130,GREEVES DRIVE,KILSYTH,VIC,3137
132,KRONK STREET,MAIDEN GULLY,VIC,3551
,MARINA DRIVE,PORT LINCOLN,SA,5606
35,QUEENS BRIDGE STREET,SOUTHBANK,VIC,3006
4,NAROO COURT,GLEN WAVERLEY,VIC,3150
14,FOWLER STREET,WEST GLADSTONE,QLD,4680
13,LUKE STREET,STAWELL,VIC,3380
2,IRRAWANG STREET,RAYMOND TERRACE,NSW,2324
68,WESTS ROAD,MARIBYRNONG,VIC,3032
108A,HINDLEY STREET,ADELAIDE,SA,5000
266,GREEN RIDGE ROAD,JIMBOOMBA,QLD,4280
431,GOLDEN FOUR DRIVE,TUGUN,QLD,4224
120,COTTESLOE DRIVE,ROBINA,QLD,4226
9,FERNY AVENUE,SURFERS PARADISE,QLD,4217
128,THIRD AVENUE,CARRARA,QLD,4211
14,BRADFORD CLOSE,KOTARA,NSW,2289
92-94,COLERAINE ROAD,HAMILTON,VIC,3300
272-290,FRYAR ROAD,EAGLEBY,QLD,4207
6,FINCH PLACE,MOUNT AUSTIN,NSW,2650
8,SAINT JOHN COURT,ROBINA,QLD,4226
22,LINCOLN DRIVE,PORTARLINGTON,VIC,3223
20,BUNDALL ROAD,BUNDALL,QLD,4217
67,WAKEFIELD AVENUE,AINSLIE,ACT,2602
240,BRUCE CRESCENT,WALLARAH,NSW,2259
5,ROSEWALL COURT,MOUNT KYNOCH,QLD,4350
18,DEQUETTEVILLE TERRACE,KENT TOWN,SA,5067
40,DUDLEY STREET,BONDI,NSW,2026
3B,PARKER AVENUE,SORRENTO,WA,6020
3,BETHUNE PLACE,NEWNHAM,TAS,7248
58,HARVEST ROAD,NORTH FREMANTLE,WA,6159
2251,POINT NEPEAN ROAD,RYE,VIC,3941
77,MURRAY STREET,COOLUP,WA,6214
29,NEWTON STREET,MARYBOROUGH,VIC,3465
21,MORGAN STREET,BELLBIRD PARK,QLD,4300
4,FENNER GREEN,POINT COOK,VIC,3030
22,RESERVOIR ROAD,FRANKSTON,VIC,3199
,GLENOAKE ROAD,BARNEY VIEW,QLD,4287
74,STUARTHOLME ROAD,BARDON,QLD,4065
23,PINDARI PLACE,NORTH BOAMBEE VALLEY,NSW,2450
60,ROSS STREET,LISMORE,NSW,2480
19,SEARLE STREET,MACCLESFIELD,SA,5153
165-171,THIRD ROAD,BERKSHIRE PARK,NSW,2765
23,CHISHOLM LINK,MADELEY,WA,6065
18,MARY STREET,BENALLA,VIC,3672
187,MAROUBRA ROAD,MAROUBRA,NSW,2035
408-438,MOUNT STREET,ROMAINE,TAS,7320
32,LAWRENCE DRIVE,DEVONPORT,TAS,7310
76,COOPER STREET,MANDURAH,WA,6210
1,BROWN STREET,KIAMA,NSW,2533
5,GRESHAM STREET,SYDNEY,NSW,2000
163,COX AVENUE,PENRITH,NSW,2750
1-3,SUNRISE BOULEVARD,BYRON BAY,NSW,2481
3,SIXTEENTH STREET,PARADISE BEACH,VIC,3851
285,THE BOULEVARDE,PUNCHBOWL,NSW,2196
6,LOVELL ROAD,EASTWOOD,NSW,2122
22,WELLINGTON STREET,FLEMINGTON,VIC,3031
536,OREGAN CREEK ROAD,TOOGOOM,QLD,4655
7,RADCLIFFE PLACE,KELLYVILLE,NSW,2155
136,CENTENARY DRIVE SOUTH,MIDDLEMOUNT,QLD,4746
81,FAIRFAX ROAD,WARNERS BAY,NSW,2282
29,MARIAN PLACE,PROSPECT,SA,5082
82,EGERTON DRIVE,AVELEY,WA,6069
15,VICTORIA ROAD,MINGENEW,WA,6522
38,KING STREET,DANDENONG,VIC,3175
3,HAVENBROOK DRIVE,TREVALLYN,TAS,7250
30,YORK STREET,POINT FREDERICK,NSW,2250
926-930,MOUNT DANDENONG TOURIST ROAD,MONTROSE,VIC,3765
26,BALOO CRESCENT,NERANG,QLD,4211
22,PALACE STREET,ASHFIELD,NSW,2131
155,WALKER STREET,CASINO,NSW,2470
12,REDMOND STREET,COLLINSWOOD,SA,5081
231A,BELGRAVE-HALLAM ROAD,NARRE WARREN NORTH,VIC,3804
7,PELL PARADE,MACLEOD,VIC,3085
21,FERNLEIGH STREET,UNDERDALE,SA,5032
51,LAVINGTON STREET,COORPAROO,QLD,4151
11,CAMERON STREET,RESERVOIR,VIC,3073
127,OCEANIC DRIVE,WARANA,QLD,4575
54,RODSTED STREET,EAST BUNBURY,WA,6230
5,CARLA COURT,SOMERVILLE,VIC,3912
3,DIXON STREET,CLARENCE PARK,SA,5034
3,CONLEY STREET,CLONTARF,QLD,4019
37,REMLY STREET,ROSELANDS,NSW,2196
524-544,ROCKY POINT ROAD,SANS SOUCI,NSW,2219
214,WILLIAMS ROAD,TABLE TOP,NSW,2640
45,NORTH STREET,CASINO,NSW,2470
29,FORESTRY ROAD,SPRINGBROOK,QLD,4213
12,REDGUM DRIVE,BELAIR,SA,5052
104,VIEW STREET,GLENROY,VIC,3046
199,GEORGES RIVER CRESCENT,OYSTER BAY,NSW,2225
5,TODWANA COURT,RACEVIEW,QLD,4305
15,DODDINGTON WAY,QUINNS ROCKS,WA,6030
117,RUSSELL STREET,PANMURE,VIC,3265
7,MAPLE AVENUE,MOONAH,TAS,7009
18,BLANCH STREET,BOAT HARBOUR,NSW,2316
196,WIDGEE ROAD,NORANDA,WA,6062
38,CHAPMAN STREET,NORTH MELBOURNE,VIC,3051
440,FLINDERS STREET,TOWNSVILLE CITY,QLD,4810
64,JONES PARADE,COOLUM BEACH,QLD,4573
377B,OLD SOUTH HEAD ROAD,NORTH BONDI,NSW,2026
1,WILLIAMS LANE,SOUTHSIDE,QLD,4570
265,CRESWICK-NEWSTEAD ROAD,ALLENDALE,VIC,3364
28,HUNTER STREET,KIRRAWEE,NSW,2232
34,BRIDGE ROAD,BEECHWORTH,VIC,3747
5,BURTON STREET,WERRINGTON COUNTY,NSW,2747
35,QUEENS BRIDGE STREET,SOUTHBANK,VIC,3006
7,LEDA DRIVE,BURLEIGH HEADS,QLD,4220
318,BETE BOLONG ROAD,BETE BOLONG,VIC,3888
3,PICKFORD STREET,JINGILI,NT,0810
34,RIGNEY ROAD,TANILBA BAY,NSW,2319
1,POWLETT STREET,EAST MELBOURNE,VIC,3002
10,JILLINDA PLACE,THE GAP,QLD,4061
1,JOHN MONASH BOULEVARD,MILDURA,VIC,3500
38,PENNANT HILLS ROAD,NORTH PARRAMATTA,NSW,2151
22,OLIVE STREET,NEWSTEAD,TAS,7250
11,SALTBUSH STREET,POINT COOK,VIC,3030
5,BAY DRIVE,MEADOWBANK,NSW,2114
20,CONVENTION CENTRE PLACE,SOUTH WHARF,VIC,3006
24,FREE STREET,NEWMARKET,QLD,4051
5,TOWERHILL PLACE,MOUNT CLAREMONT,WA,6010
4,AUSTIN PLACE,MELTON SOUTH,VIC,3338
6,HIGHFIELD COURT,TRARALGON,VIC,3844
773,ONGERUP-PINGRUP ROAD,MINDARABIN,WA,6336
178,COOROY MOUNTAIN ROAD,COOROY,QLD,4563
194,PRESIDENT STREET,KEWDALE,WA,6105
45,GRACE STREET,ST ALBANS,VIC,3021
163-165,TYLER STREET,TUART HILL,WA,6060
15,COLEMAN STREET,MOONAH,TAS,7009
57,MIDDLETON AVENUE,CASTLE HILL,NSW,2154
32,COCKMAN ROAD,GREENWOOD,WA,6024
,HAYWARD AVENUE,TORRENSVILLE,SA,5031
,DRURY LANE,DUNDOWRAN,QLD,4655
23,MAGEE STREET,AEROGLEN,QLD,4870
83,WHEATLEY ROAD,MCKINNON,VIC,3204
12,VICTORIA AVENUE,PERTH,WA,6000
16,FAIRVIEW PARADE,TARNEIT,VIC,3029
45,FURCI AVENUE,EDENSOR PARK,NSW,2176
11,CORNEY STREET,NORTH MACKAY,QLD,4740
680,POMONA KIN KIN ROAD,KIN KIN,QLD,4571
149,LOCKHART STREET,COMO,WA,6152
16,PERANGA STREET,MANLY,QLD,4179
30,KIMMAX STREET,SUNNYBANK,QLD,4109
14,SWORDS PARADE,NORTH LAKES,QLD,4509
16-18,TEMPE STREET,GREENACRE,NSW,2190
136,UNION STREET,ERSKINEVILLE,NSW,2043
,EAST HALDON ROAD,JUNCTION VIEW,QLD,4343
668,TOOHEY ROAD,SALISBURY,QLD,4107
51,ROBERT STREET,BENTLEIGH,VIC,3204
7,ARMSON AVENUE,MAGILL,SA,5072
10,ALMARA STREET,CAPALABA,QLD,4157
6,MCCONNELLS ROAD,DUNBIBLE,NSW,2484
145,MURLONG STREET,SWAN HILL,VIC,3585
13,SMYTH PLACE,FIGTREE,NSW,2525
19,PINE RIDGE,DONVALE,VIC,3111
86,HAINES ROAD,BANKSIA PARK,SA,5091
127,BACK BEACH ROAD,YARRABAH,QLD,4871
,HARDY STREET,ROYAL PARK,SA,5014
16,CUMMING STREET,BRUNSWICK WEST,VIC,3055
2,FIFTH AVENUE,CHELTENHAM,SA,5014
21,CASSIA WAY,METFORD,NSW,2323
421A,RUFFLES ROAD,WILLOW VALE,QLD,4209
70,BARNES STREET,INNALOO,WA,6018
1930,DONNYBROOK ROAD,YAN YEAN,VIC,3755
764,HENTY HIGHWAY,DOOEN,VIC,3401
36,BRUNTON AVENUE,CAROLINE SPRINGS,VIC,3023
90,CARILLON AVENUE,NEWTOWN,NSW,2042
115,GORDON STREET,ORMISTON,QLD,4160
28,FOSKETT PLACE,FRASER,ACT,2615
10,MONKITTEE STREET,BRAIDWOOD,NSW,2622
8,JASPER ROAD,BAULKHAM HILLS,NSW,2153
23,ADAMS CIRCUIT,ELDERSLIE,NSW,2570
19,WILKINSON STREET,PARAP,NT,0820
11-13,CURTIS STREET,CARINGBAH,NSW,2229
44,KOOLINDA CRESCENT,KARAMA,NT,0812
11,TRAVERS WAY,AVELEY,WA,6069
685,BURRAGORANG ROAD,THE OAKS,NSW,2570
5A,SIMPER CRESCENT,WHITE GUM VALLEY,WA,6162
58,GARDEN DRIVE,EPSOM,VIC,3551
9,ROBERTSON STREET,ALSTONVILLE,NSW,2477
15-17,HARBORD STREET,BONNELLS BAY,NSW,2264
120-200,ROSAMOND ROAD,MARIBYRNONG,VIC,3032
7,ROWLAND ROAD,POORAKA,SA,5095
14,YUROKE STREET,FAWKNER,VIC,3060
,HAUSLER ROAD,MORGAN,SA,5320
5,NORFOLK STREET,FREMANTLE,WA,6160
115-133,NEERIM ROAD,GLEN HUNTLY,VIC,3163
6,GOLDEN WAY,NURIOOTPA,SA,5355
209,VINCENT STREET,CESSNOCK,NSW,2325
39,RONALD STREET,DANDENONG,VIC,3175
12,EIGHTH AVENUE,MAYLANDS,WA,6051
7,LANE PLACE,SPENCE,ACT,2615
23,LEONARDI ROAD,MAREEBA,QLD,4880
12B,RYELANE STREET,MADDINGTON,WA,6109
36,DENMAN STREET,EAST GEELONG,VIC,3219
14,MORTLAKE AVENUE,DALLAS,VIC,3047
7,JAMES COURT,WANGARATTA,VIC,3677
2,MARALINGA ROAD,TERRIGAL,NSW,2260
996,OCEAN DRIVE,BONNY HILLS,NSW,2445
16,WANDARRI ROAD,KENTHURST,NSW,2156
17,RED GUM DRIVE,GATTON,QLD,4343
6,BAKEWELL STREET,DONNYBROOK,WA,6239
27,AMBERLEA CIRCUIT,TAYLORS HILL,VIC,3037
782-784,MAIN NORTH ROAD,POORAKA,SA,5095
50,PEAK COURT,PEAK CROSSING,QLD,4306
8,WRAY PLACE,GOWRIE,ACT,2904
54,MARLOW STREET,WEMBLEY,WA,6014
19,ANZAC AVENUE,LEOPOLD,VIC,3224
11,GWONGORELLA PARADE,SPRINGBROOK,QLD,4213
14-16,HIXSON STREET,BANKSTOWN,NSW,2200
16,WENTWORTH-SMITH STREET,VALLA BEACH,NSW,2448
64,GILSTON ROAD,NERANG,QLD,4211
14-16,CARTER STREET,SALE,VIC,3850
218,CHETWYND STREET,NORTH MELBOURNE,VIC,3051
178,SEPARATION STREET,NORTHCOTE,VIC,3070
28,COUNTRY CLUB DRIVE,WINGHAM,NSW,2429
66-70,LONG ISLAND ROAD,MURRAY BRIDGE,SA,5253
7,DAMIEN COURT,PAKENHAM,VIC,3810
109,COULSON STREET,BLACKBUTT,QLD,4306
30,AYREY STREET,WILLAURA,VIC,3379
23,AMETHYST AVENUE,PEARL BEACH,NSW,2256
11,PARK STREET,ORANGE,NSW,2800
31,TENNESSEE WAY,KELSO,QLD,4815
13,BAYFIELD STREET,ROSNY PARK,TAS,7018
5,DUMFRIES STREET,DEER PARK,VIC,3023
11,YEATES CRESCENT,MEADOWBROOK,QLD,4131
77,BURNS STREET,MARYBOROUGH,VIC,3465
32,SCENIC DRIVE,MOUNT LOUISA,QLD,4814
309,MCDONALDS ROAD,EPPING,VIC,3076
4524,CALDER HIGHWAY,RAVENSWOOD,VIC,3453
16,SWANTON DRIVE,MUDGEERABA,QLD,4213
40,SHORT STREET,STANTHORPE,QLD,4380
568,KIEWA STREET,ALBURY,NSW,2640
84,LOCK STREET,STANTHORPE,QLD,4380
35,COMO PARADE EAST,MENTONE,VIC,3194
91-93,KEW STREET,WELSHPOOL,WA,6106
10,BRIDGE STREET,GRANVILLE,NSW,2142
11,ALBENCA STREET,MENTONE,VIC,3194
62,PROSPECT COURT,ROBINA,QLD,4226
5,ASHWOOD CLOSE,LANGWARRIN,VIC,3910
191,BOISDALE-NEWRY ROAD,BOISDALE,VIC,3860
21-23,WILLIAM STREET,ALEXANDRIA,NSW,2015
70,THOMAS ROAD,ARTHURS CREEK,VIC,3099
847,HIGH STREET ROAD,GLEN WAVERLEY,VIC,3150
297,DREW ROAD,HANWOOD,NSW,2680
20,YATES ROAD,BANGOR,NSW,2234
9,CLARENCE STREET,CORLETTE,NSW,2315
37,MARRA COURT,MOUNTAIN CREEK,QLD,4557
942,ROSA GLEN ROAD,ROSA GLEN,WA,6285
2,HALL DRIVE,MENAI,NSW,2234
75,WOODLAND DRIVE,BURNSIDE,WA,6285
38,SANDOWNS STREET,ALVA,QLD,4807
8,UNION STREET,SALE,VIC,3850
100,ST HELLIER STREET,HEIDELBERG HEIGHTS,VIC,3081
4,REEF STREET,LAKE CARGELLIGO,NSW,2672
55,QUEENS COURT ROAD,ALEXANDRA HILLS,QLD,4161
2,FREE SETTLERS DRIVE,KELLYVILLE,NSW,2155
13,SUNBIRD GARDENS,EPPING,VIC,3076
7,BLAIR STREET,TERALBA,NSW,2284
42,DALTON STREET,SUNSHINE WEST,VIC,3020
238,MITCHELL STREET,NORTHCOTE,VIC,3070
136,THOMAS STREET,HAMPTON,VIC,3188
27,BONANZA PARADE,SANS SOUCI,NSW,2219
1001,BRUCE HIGHWAY,FARLEIGH,QLD,4741
6,SAINT BARNABAS PLACE,RED HILL,QLD,4059
659-661,PRINCES HIGHWAY,BLAKEHURST,NSW,2221
13,MAXWELL STREET,FAIRY MEADOW,NSW,2519
6,HANNAH STREET,AMBERLEY,QLD,4306
47,LAKE STREET,FORSTER,NSW,2428
52A,SIR THOMAS MITCHELL ROAD,BONDI BEACH,NSW,2026
20,ECHO PLACE,ALFREDTON,VIC,3350
3,RAWSON ROAD,SOUTH WENTWORTHVILLE,NSW,2145
28,BUSHBY ROAD,LOWER KING,WA,6330
1544-1580,IPSWICH BOONAH ROAD,PEAK CROSSING,QLD,4306
26,CLYDE STREET,CROYDON PARK,NSW,2133
36-38,GORTON STREET,YOOGALI,NSW,2680
65,THOMAS WALKER DRIVE,CHITTAWAY BAY,NSW,2261
5-9,FULTON STREET,ST KILDA EAST,VIC,3183
162,ANAKIE ROAD,BELL PARK,VIC,3215
13,MACCUES ROAD,MOONEE BEACH,NSW,2450
60,EDWIN STREET,IVANHOE,VIC,3079
1,KERILEE COURT,BELLA VISTA,NSW,2153
69-71,SCOTT STREET,HALIFAX,QLD,4850
10,LAUDERDALE DRIVE,CRAIGIEBURN,VIC,3064
178,GROSVENOR ROAD,NORTH PERTH,WA,6006
156,OLSEN AVENUE,ARUNDEL,QLD,4214
20-22,CROSS STREET,BROOKVALE,NSW,2100
9C,SHALFORD WAY,GIRRAWHEEN,WA,6064
35,RIVERSIDE AVENUE,AVONDALE HEIGHTS,VIC,3034
6,WAKOOL STREET,WINDALE,NSW,2306
94,UNION STREET,NORTHCOTE,VIC,3070
37,ANTIBES STREET,PARKDALE,VIC,3195
67,MISKIN STREET,TOOWONG,QLD,4066
11,FARRELL STREET,GLENELG SOUTH,SA,5045
12,WHARF STREET,KANGAROO POINT,QLD,4169
72,MARSDEN STREET,BOOROWA,NSW,2586
55,CUMBERTEEN STREET,HILL TOP,NSW,2575
98-102,REGENT STREET,REDFERN,NSW,2016
357,WOOROORA ROAD,RAVENSHOE,QLD,4888
2,NARANI CRESCENT,PORT MACQUARIE,NSW,2444
7,PAMPLING STREET,SEVENTEEN MILE ROCKS,QLD,4073
398,HUMPHRIES LANE,THE ROCK,NSW,2655
108,LAMONERIE STREET,TOONGABBIE,NSW,2146
21,PINKSTONE AVENUE,COOTAMUNDRA,NSW,2590
173,WORDSWORTH AVENUE,YOKINE,WA,6060
2,RENOWN STREET,BURWOOD,VIC,3125
349,BURNLEY STREET,RICHMOND,VIC,3121
122,JONSON STREET,BYRON BAY,NSW,2481
2,THE PALLADIO,MANDURAH,WA,6210
3,MORGAN STREET,BOTANY,NSW,2019
6,NORTHGATE CLOSE,REDLYNCH,QLD,4870
294,TABAIN ROAD,MERUNGLE HILL,NSW,2705
32,ALBION STREET,CAULFIELD SOUTH,VIC,3162
6A,CLIFFORD STREET,UMINA BEACH,NSW,2257
16,ATKINS PLACE,HELENSVALE,QLD,4212
83,TIPPETTS ROAD,MOUNT HICKS,TAS,7325
8,NASH COURT,BUNDOORA,VIC,3083
1,LISA COURT,LENAH VALLEY,TAS,7008
11,PORTERS ROAD,KENTHURST,NSW,2156
29,MALUMBA DRIVE,CURRIMUNDI,QLD,4551
7,SAMUEL STREET,WOODY POINT,QLD,4019
4,SAMOA COURT,PACIFIC PINES,QLD,4211
1684,CHANNEL HIGHWAY,MARGATE,TAS,7054
169,NICOLSON AVENUE,WHYALLA NORRIE,SA,5608
18,KULGOA ROAD,BELLEVUE HILL,NSW,2023
,LIVISTONIA CLOSE,BUSHLAND BEACH,QLD,4818
50,SHORT STREET,MERIMBULA,NSW,2548
53,WARMINGTON STREET,PADDINGTON,QLD,4064
128,MARKS POINT ROAD,MARKS POINT,NSW,2280
18,CORAL ESPLANADE,CANNONVALE,QLD,4802
76,KING STREET,CRANBROOK,WA,6321
40,STRADBROKE AVENUE,COWES,VIC,3922
3539,WINDORAH RIVER ROAD,JUNDAH,QLD,4736
82,GEISSMANN DRIVE,TAMBORINE MOUNTAIN,QLD,4272
14,MIDDLE CRESCENT,DYSART,QLD,4745
1,ARCHIPELAGO STREET,PACIFIC PINES,QLD,4211
15,MARK WAY,MOUNT TARCOOLA,WA,6530
19,GAGER STREET,SUNNYBANK,QLD,4109
1,WERRIBI STREET,MAYFIELD WEST,NSW,2304
201,FLINDERS STREET,YOKINE,WA,6060
475,CHURCH STREET,NORTH PARRAMATTA,NSW,2151
86-98,CROWN STREET,SOUTH LISMORE,NSW,2480
1,KILLARA CRESCENT,WINMALEE,NSW,2777
8,PLEDGER CLOSE,NARRE WARREN SOUTH,VIC,3805
14,RAPKIN STREET,TARRAGINDI,QLD,4121
1A,KURRAJONG AVENUE,FOREST HILL,NSW,2651
59,THALLON ROAD,KENSINGTON GROVE,QLD,4341
21,MYRTLE AVENUE,MYRTLE BANK,SA,5064
152,ROKEWOOD CRESCENT,MEADOW HEIGHTS,VIC,3048
21,TIMBARA COURT,WATTLE GROVE,NSW,2173
1,BERKSHIRE PLACE,NARRE WARREN SOUTH,VIC,3805
25,THE QUARTERDECK,WILLETTON,WA,6155
20,INVERMAY STREET,RESERVOIR,VIC,3073
4,CULCAIRN COURT,NARRE WARREN SOUTH,VIC,3805
16,ATHLONE ROAD,FLOREAT,WA,6014
33,FRANCESCO CRESCENT,BELLA VISTA,NSW,2153
6,ASSUMPTION CLOSE,TRUGANINA,VIC,3029
6,BARONE ROAD,CRAIGIE,WA,6025
36,ALGESTER ROAD,CALAMVALE,QLD,4116
34,SAUNDERS STREET,COBURG,VIC,3058
43,MOORDALE STREET,CHAPEL HILL,QLD,4069
6,FAIRVIEW ROAD,FORBES,NSW,2871
40,OCEAN STREET,PENSHURST,NSW,2222
,WEIR ROAD,CUNNAMULLA,QLD,4490
10,ALUMUNA CIRCUIT,JORDAN SPRINGS,NSW,2747
4,REES STREET,ARIAH PARK,NSW,2665
40,COUPER STREET,MIRBOO NORTH,VIC,3871
80-82,BONAR STREET,WOLLI CREEK,NSW,2205
14-20,LITTLE WEST STREET,WINSTON,QLD,4825
51,RUSHWORTH ROAD,GORDONVALE,QLD,4865
96,SIXTY EIGHT ROAD,BALDIVIS,WA,6171
56,HIGH STREET,KIPPA-RING,QLD,4021
23,JOYCE AVENUE,GLEN WAVERLEY,VIC,3150
46,GARNET AVENUE,BLACKWOOD,SA,5051
10,IVY PLACE,CRAIGIEBURN,VIC,3064
37,MEREWEATHER AVENUE,FRANKSTON,VIC,3199
131,YOUNGS CROSSING ROAD,JOYNER,QLD,4500
271,ESPLANADE,ALDINGA BEACH,SA,5173
12,WALSH STREET,BALAKLAVA,SA,5461
15,MAYBACH WAY,DIANELLA,WA,6059
101,TRAM ROAD,DONCASTER,VIC,3108
219,BEULAH ROAD,BEULAH PARK,SA,5067
19,MOORE CRESCENT,ST AGNES,SA,5097
7,PYMORE CRESCENT,BUTLER,WA,6036
93,OREILLY DRIVE,CALOUNDRA WEST,QLD,4551
4,WANGANUI COURT,TAYLORS LAKES,VIC,3038
,MOUNT CUDMORE ROAD,BEMERSIDE,QLD,4850
436,LORD STREET,MOUNT LAWLEY,WA,6050
1894,MOORLANDS ROAD,WYNARKA,SA,5306
109,CEDAR STREET,THOMASTOWN,VIC,3074
55,MAIN AVENUE,COORPAROO,QLD,4151
3,KILLARNEY ROAD,BRIDGEWATER,TAS,7030
5,OPREY CLOSE,MINTO,NSW,2566
50-60,NORTH EAST ROAD,WALKERVILLE,SA,5081
6,PERCIVAL STREET,SHEPPARTON,VIC,3630
5,PURCELL ROAD,LONDONDERRY,NSW,2753
131,SOUTH ROAD,BRIGHTON,VIC,3186
3883,MELBA HIGHWAY,GLENBURN,VIC,3717
15A,APPLETREE ROAD,WEST WALLSEND,NSW,2286
6,ALPINE COURT,KALLANGUR,QLD,4503
7,BRAUNTON STREET,BICTON,WA,6157
197,CASTLEREAGH STREET,SYDNEY,NSW,2000
12,LIMBURG WAY,GREENWAY,ACT,2900
51,CABARITA ROAD,CABARITA,NSW,2137
24,WOLSELEY WAY,UPPER COOMERA,QLD,4209
33L,PINEDALE ROAD,DUBBO,NSW,2830
47,ROCHDALE DRIVE,BURWOOD EAST,VIC,3151
32,STANBROOK STREET,FAIRFIELD HEIGHTS,NSW,2165
23,CORNWALL DRIVE,ELANORA,QLD,4221
6,MACQUARIE ROAD,WEST WODONGA,VIC,3690
41A,SOPHY CRESCENT,BRACKEN RIDGE,QLD,4017
1B,ROSE STREET,ALTONA,VIC,3018
17B,EDINBURGH STREET,BENTLEIGH EAST,VIC,3165
479,GOLDEN FOUR DRIVE,TUGUN,QLD,4224
110,KEPPEL STREET,CARLTON,VIC,3053
134-136,DOOEN ROAD,HORSHAM,VIC,3400
30-32,HERBERT STREET,WEST RYDE,NSW,2114
3,ASHFORD CIRCUIT,CURRANS HILL,NSW,2567
393,ELIZABETH DRIVE,MOUNT PRITCHARD,NSW,2170
3,PARKLAND BOULEVARD,BRISBANE CITY,QLD,4000
70,EVELYN ROAD,WYNNUM WEST,QLD,4178
28,ST ANDREWS WAY,DUNCRAIG,WA,6023
31,UNION STREET,BRUNSWICK,VIC,3056
3,HAMER STREET,BRUNSWICK EAST,VIC,3057
99,STAFFORD ROAD,KENWICK,WA,6107
5,MELVICH GREEN,BUTLER,WA,6036
20,MAHOGANY HILL,PORT MACQUARIE,NSW,2444
93-95,KELSO ROAD,YALLOURN NORTH,VIC,3825
72,NETTLE DRIVE,HALLAM,VIC,3803
364,GLEBE ROAD,HAMILTON SOUTH,NSW,2303
883,PACIFIC HIGHWAY,LISAROW,NSW,2250
83,MOUNT STREET,NORTH SYDNEY,NSW,2060
25,RICKETTS WAY,GREENWOOD,WA,6024
63A,MACARTHUR STREET,GRIFFITH,NSW,2680
160,DERBY STREET,PENRITH,NSW,2750
32,BEACONSFIELD PARADE,ALBERT PARK,VIC,3206
172,PRINCES STREET,CARLTON NORTH,VIC,3054
25A,CONNELLY WAY,BOORAGOON,WA,6154
60,SOLDIERS POINT DRIVE,NORAH HEAD,NSW,2263
438-454,ILLAWARRA ROAD,MARRICKVILLE,NSW,2204
62,WINGADEE STREET,COONAMBLE,NSW,2829
311,VULTURE STREET,SOUTH BRISBANE,QLD,4101
20,HOPE STREET,SOUTH BRISBANE,QLD,4101
444,MELLA ROAD,MELLA,TAS,7330
27,BRABY STREET,ALVA,QLD,4807
157,BRINGELLY ROAD,KINGSWOOD,NSW,2747
14,SALVATORE COURT,SUNSHINE WEST,VIC,3020
34,SEVENTH AVENUE,BERALA,NSW,2141
11,SCOULLER STREET,MARRICKVILLE,NSW,2204
105,BRIDGE ROAD,WESTMEAD,NSW,2145
14,BROOKER TERRACE,COWANDILLA,SA,5033
420,ALBION STREET,BRUNSWICK WEST,VIC,3055
105,RATHCOWN ROAD,RESERVOIR,VIC,3073
70,VANDERSPEK ROAD,BONDOOLA,QLD,4703
60,HARDIMAN STREET,KENSINGTON,VIC,3031
21,CARROLL ROAD,HIGHTON,VIC,3216
36,ELVINA AVENUE,AVALON BEACH,NSW,2107
211,LAKE ENTRANCE ROAD,SHELLHARBOUR CITY CENTRE,NSW,2529
68,BROADWAY,CRAWLEY,WA,6009
15,JOAN STREET,MELTON,VIC,3337
31,PASCOE AVENUE,CROYDON,VIC,3136
339,OLSEN ROAD,HOWATHARRA,WA,6532
18-20,SOCRATES WAY,ROCKBANK,VIC,3335
32,FAGAN ROAD,HERSTON,QLD,4006
79,STONELEIGH CRESCENT,HIGHTON,VIC,3216
43,CLONTARF STREET,SORRENTO,WA,6020
22,WESTBURY GROVE,ST KILDA EAST,VIC,3183
8,TOWNSVILLE CRESCENT,DECEPTION BAY,QLD,4508
7A,HOMEDALE AVENUE,BEXLEY NORTH,NSW,2207
23,TASOS DRIVE,MUNNO PARA WEST,SA,5115
9,COLEMAN AVENUE,KEW EAST,VIC,3102
26,DIRK HARTOG ROAD,BULL CREEK,WA,6149
1,ADAM PLACE,MACQUARIE FIELDS,NSW,2564
3,SWAN STREET,NEWNHAM,TAS,7248
18,AGNES STREET,THORNBURY,VIC,3071
22,BORONIA DRIVE,SOUTHPORT,QLD,4215
27,NANCY PLACE,GALSTON,NSW,2159
21,WALTERS STREET,BUNDABERG NORTH,QLD,4670
44,KNEEN STREET,FITZROY NORTH,VIC,3068
